web-scraper-order,web-scraper-start-url,logos,logos-href,nameV,capacity
"1584816648-275","https://www.automobiledimension.com/","FORD","https://www.automobiledimension.com/ford-car-dimensions.html","Ford Focus","Ford Ka+L x W x H: 3941 x 1704 x 1524 mm
Boot capacity: 270 dm3"
"1584816640-270","https://www.automobiledimension.com/","HONDA","https://www.automobiledimension.com/honda-car-dimensions.html","Honda CR-V","New Honda e 2020L x W x H: 3894 x 1752 x 1512 mm
Boot capacity: 171 dm3"
"1584816648-294","https://www.automobiledimension.com/","FORD","https://www.automobiledimension.com/ford-car-dimensions.html","Ford Tourneo Custom L1","Ford Ka+L x W x H: 3941 x 1704 x 1524 mm
Boot capacity: 270 dm3"
"1584816655-321","https://www.automobiledimension.com/","FERRARI","https://www.automobiledimension.com/ferrari-car-dimensions.html","New Ferrari SF90 Stradale 2020","Ferrari PortofinoL x W x H: 4586 x 1938 x 1318 mm
Boot capacity: 292 dm3"
"1584816648-271","https://www.automobiledimension.com/","FORD","https://www.automobiledimension.com/ford-car-dimensions.html","Ford Ka+","Ford Ka+L x W x H: 3941 x 1704 x 1524 mm
Boot capacity: 270 dm3"
"1584816353-162","https://www.automobiledimension.com/","NISSAN","https://www.automobiledimension.com/nissan-car-dimensions.html","Nissan Leaf","Nissan MicraL x W x H: 3995 x 1743 x 1452 mm
Boot capacity: 300 dm3"
"1584816306-4","https://www.automobiledimension.com/","VOLVO","https://www.automobiledimension.com/volvo-car-dimensions.html","Volvo V60","Volvo V40L x W x H: 4369 x 1802 x 1420 mm
Boot capacity: 335 dm3"
"1584816428-180","https://www.automobiledimension.com/","MAZDA","https://www.automobiledimension.com/mazda-car-dimensions.html","Mazda 3","New Mazda 2 2020L x W x H: 4070 x 1695 x 1495 mm
Boot capacity: 250 dm3"
"1584816534-207","https://www.automobiledimension.com/","LAND ROVER","https://www.automobiledimension.com/land-rover-car-dimensions.html","New Range Rover Evoque 2019","New Land Rover Defender 90 2020L x W x H: 4323 x 1996 x 1974 mm
Boot capacity: 297 dm3"
"1584816353-168","https://www.automobiledimension.com/","NISSAN","https://www.automobiledimension.com/nissan-car-dimensions.html","Nissan NP300 Navara","Nissan MicraL x W x H: 3995 x 1743 x 1452 mm
Boot capacity: 300 dm3"
"1584816347-139","https://www.automobiledimension.com/","PEUGEOT","https://www.automobiledimension.com/peugeot-car-dimensions.html","New Peugeot Rifter 2019","Peugeot iOnL x W x H: 3475 x 1475 x 1608 mm
Boot capacity: 166 dm3"
"1584816610-222","https://www.automobiledimension.com/","KIA","https://www.automobiledimension.com/kia-car-dimensions.html","New Kia XCeed 2020","Kia PicantoL x W x H: 3595 x 1595 x 1485 mm
Boot capacity: 255 dm3"
"1584816648-290","https://www.automobiledimension.com/","FORD","https://www.automobiledimension.com/ford-car-dimensions.html","New Ford Explorer 2020","Ford Ka+L x W x H: 3941 x 1704 x 1524 mm
Boot capacity: 270 dm3"
"1584816306-8","https://www.automobiledimension.com/","VOLVO","https://www.automobiledimension.com/volvo-car-dimensions.html","Volvo V90 Cross Country","Volvo V40L x W x H: 4369 x 1802 x 1420 mm
Boot capacity: 335 dm3"
"1584816351-157","https://www.automobiledimension.com/","OPEL","https://www.automobiledimension.com/opel-car-dimensions.html","New Opel Zafira Life S 2019","Opel Karl / VivaL x W x H: 3675 x 1604 x 1476 mm
Boot capacity: 215 dm3"
"1584816569-212","https://www.automobiledimension.com/","LAMBORGHINI","https://www.automobiledimension.com/lamborghini-car-dimensions.html","New Lamborghini Huracán EVO 2019","New Lamborghini Huracán EVO 2019L x W x H: 4520 x 1933 x 1165 mm
Boot capacity: 100 dm3"
